"m (Meter)"	"qc (MN/m�)"	"fs (kN/m�)"	"u2 (kN/m�)"	"� (Ix)"	"� (Iy)"	" ()"	" ()"	" ()"	"Cm/s"
"0.57"	"2.20"	"90.320"	"5.50"	"0.23"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.58"	"2.13"	"88.540"	"3.84"	"0.17"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.59"	"2.14"	"87.820"	"5.41"	"0.17"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.60"	"2.22"	"89.660"	"8.11"	"0.23"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.61"	"2.56"	"89.640"	"10.02"	"0.29"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"0.62"	"2.92"	"86.420"	"11.30"	"0.23"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"0.63"	"3.36"	"85.100"	"12.10"	"0.29"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.64"	"3.76"	"84.760"	"10.94"	"0.29"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"0.65"	"4.00"	"82.400"	"7.71"	"0.23"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.66"	"4.00"	"78.560"	"4.92"	"0.23"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"0.67"	"4.02"	"75.940"	"3.28"	"0.23"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"0.68"	"4.05"	"79.220"	"4.27"	"0.17"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"0.69"	"4.45"	"83.300"	"1.93"	"0.29"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"0.70"	"4.60"	"82.000"	"0.83"	"0.23"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"0.71"	"4.61"	"85.840"	"0.75"	"0.23"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"0.72"	"4.51"	"84.700"	"2.67"	"0.23"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"0.73"	"4.26"	"86.900"	"7.12"	"0.23"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"0.74"	"4.13"	"91.020"	"5.79"	"0.23"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.75"	"4.24"	"89.780"	"3.56"	"0.23"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"0.76"	"4.20"	"86.780"	"1.40"	"0.23"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"0.77"	"3.89"	"87.960"	"-0.50"	"0.23"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.78"	"3.90"	"93.360"	"-0.22"	"0.23"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"0.79"	"3.97"	"92.240"	"1.06"	"0.29"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"0.80"	"3.90"	"92.500"	"1.99"	"0.17"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.81"	"3.69"	"95.020"	"-0.75"	"0.23"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"0.82"	"3.51"	"98.580"	"-2.65"	"0.29"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.83"	"3.24"	"96.420"	"-7.37"	"0.23"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.84"	"2.89"	"96.820"	"-10.13"	"0.29"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.85"	"2.49"	"93.340"	"-9.99"	"0.23"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.86"	"2.23"	"92.700"	"-12.14"	"0.29"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.44"	
"0.87"	"1.79"	"93.560"	"-9.64"	"0.29"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"0.88"	"1.65"	"94.880"	"-3.45"	"0.29"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.89"	"1.51"	"95.940"	"-0.53"	"0.34"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.44"	
"0.90"	"1.53"	"92.920"	"0.51"	"0.23"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.91"	"1.55"	"86.160"	"1.64"	"0.23"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.92"	"1.60"	"80.980"	"2.61"	"0.23"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"0.93"	"1.70"	"76.720"	"3.01"	"0.34"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.94"	"1.77"	"72.020"	"6.97"	"0.23"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"0.95"	"1.74"	"70.400"	"8.42"	"0.17"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"0.96"	"1.65"	"68.320"	"9.13"	"0.23"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"0.97"	"1.55"	"66.160"	"6.61"	"0.29"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"0.98"	"1.59"	"56.200"	"17.00"	"0.23"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"0.01"	
"0.99"	"1.59"	"56.140"	"22.76"	"0.23"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.75"	
"1.00"	"1.54"	"54.160"	"3.75"	"0.17"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"3.00"	
"1.01"	"1.49"	"53.180"	"-0.33"	"0.17"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"3.00"	
"1.02"	"1.49"	"54.540"	"3.30"	"0.29"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.75"	
"1.03"	"1.48"	"53.520"	"5.37"	"0.23"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.68"	
"1.04"	"1.45"	"53.640"	"7.17"	"0.29"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"3.00"	
"1.05"	"1.43"	"53.740"	"7.77"	"0.23"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"1.06"	"1.37"	"53.460"	"9.36"	"0.23"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"3.00"	
"1.07"	"1.29"	"53.440"	"13.25"	"0.23"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.75"	
"1.08"	"1.80"	"55.680"	"16.77"	"0.23"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.75"	
"1.09"	"1.95"	"51.680"	"18.21"	"0.23"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.75"	
"1.10"	"1.92"	"50.200"	"19.44"	"0.23"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.38"	
"1.11"	"1.82"	"48.140"	"20.86"	"0.23"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.75"	
"1.12"	"1.77"	"46.660"	"6.88"	"0.23"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.75"	
"1.13"	"1.65"	"41.760"	"-7.63"	"0.29"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.68"	
"1.14"	"1.57"	"39.820"	"-13.98"	"0.23"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.75"	
"1.15"	"1.52"	"39.220"	"-16.77"	"0.23"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"3.00"	
"1.16"	"1.34"	"37.960"	"-21.16"	"0.29"	"0.51"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"1.17"	"1.24"	"39.340"	"-23.96"	"0.29"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"1.18"	"1.23"	"37.620"	"-23.00"	"0.17"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"1.19"	"1.24"	"38.820"	"-22.77"	"0.23"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"1.20"	"1.00"	"41.520"	"-23.32"	"0.29"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"1.21"	"0.75"	"42.580"	"-22.64"	"0.23"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"1.22"	"0.65"	"39.920"	"-20.23"	"0.23"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"1.23"	"0.61"	"40.680"	"-19.28"	"0.23"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.24"	"0.60"	"40.580"	"-15.88"	"0.29"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"1.25"	"0.63"	"39.520"	"-12.20"	"0.29"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"1.26"	"0.60"	"38.780"	"-10.95"	"0.29"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"1.27"	"0.57"	"37.920"	"-10.48"	"0.29"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.28"	"0.56"	"36.400"	"-3.42"	"0.29"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"1.29"	"0.56"	"33.100"	"0.66"	"0.29"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.30"	"0.46"	"30.600"	"3.28"	"0.23"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"1.31"	"0.42"	"32.040"	"4.62"	"0.29"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"1.32"	"0.40"	"31.320"	"6.05"	"0.34"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"1.33"	"0.39"	"29.720"	"6.54"	"0.34"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.34"	"0.38"	"28.360"	"7.25"	"0.34"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.44"	
"1.35"	"0.37"	"27.080"	"8.11"	"0.29"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.36"	"0.37"	"27.600"	"9.36"	"0.34"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.37"	"0.37"	"25.600"	"10.41"	"0.29"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.30"	
"1.38"	"0.38"	"25.440"	"11.04"	"0.34"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.39"	"0.39"	"24.940"	"11.61"	"0.29"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"1.40"	"0.40"	"25.160"	"11.99"	"0.29"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.41"	"0.43"	"25.160"	"12.60"	"0.29"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.42"	"0.46"	"25.080"	"13.03"	"0.34"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"1.43"	"0.48"	"24.740"	"13.53"	"0.34"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"1.44"	"0.47"	"25.160"	"13.62"	"0.34"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.45"	"0.47"	"24.800"	"14.36"	"0.40"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.46"	"0.51"	"29.800"	"18.57"	"0.40"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"0.03"	
"1.47"	"0.49"	"30.320"	"18.29"	"0.40"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.68"	
"1.48"	"0.48"	"30.040"	"18.50"	"0.40"	"0.51"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"1.49"	"0.47"	"30.200"	"18.83"	"0.40"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"1.50"	"0.46"	"30.300"	"19.00"	"0.40"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.51"	"0.45"	"29.520"	"19.38"	"0.40"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"1.52"	"0.45"	"30.260"	"19.69"	"0.40"	"0.51"	"Disabled"	"Disabled"	"Disabled"	"1.75"	
"1.53"	"0.46"	"30.780"	"19.93"	"0.40"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"1.54"	"0.47"	"32.300"	"20.22"	"0.40"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"1.55"	"0.49"	"34.060"	"20.57"	"0.40"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"1.56"	"0.50"	"36.500"	"20.97"	"0.40"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.57"	"0.53"	"37.420"	"21.25"	"0.40"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.58"	"0.56"	"37.480"	"21.53"	"0.40"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"1.59"	"0.56"	"37.460"	"21.73"	"0.34"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"1.60"	"0.56"	"38.000"	"21.87"	"0.34"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.61"	"0.57"	"37.920"	"21.71"	"0.34"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.62"	"0.60"	"36.640"	"21.46"	"0.34"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.30"	
"1.63"	"0.62"	"35.740"	"21.61"	"0.34"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.64"	"0.62"	"36.240"	"21.63"	"0.29"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.65"	"0.62"	"36.520"	"21.83"	"0.34"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.66"	"0.61"	"36.500"	"21.97"	"0.34"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.67"	"0.65"	"36.960"	"22.28"	"0.34"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.30"	
"1.68"	"0.64"	"37.760"	"22.11"	"0.34"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.69"	"0.61"	"38.460"	"21.51"	"0.34"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.70"	"0.57"	"39.200"	"21.90"	"0.34"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.71"	"0.56"	"40.880"	"22.44"	"0.34"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.72"	"0.55"	"41.900"	"23.04"	"0.34"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"1.73"	"0.54"	"42.680"	"23.30"	"0.34"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.74"	"0.53"	"42.420"	"23.54"	"0.34"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.75"	"0.53"	"42.860"	"23.71"	"0.34"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"1.76"	"0.53"	"43.280"	"23.79"	"0.34"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"1.77"	"0.52"	"44.080"	"23.95"	"0.34"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"1.78"	"0.51"	"44.540"	"24.18"	"0.34"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.79"	"0.50"	"45.400"	"24.46"	"0.34"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.80"	"0.49"	"45.540"	"24.98"	"0.34"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"1.81"	"0.48"	"45.360"	"25.29"	"0.40"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.82"	"0.47"	"44.120"	"25.58"	"0.34"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.83"	"0.46"	"43.080"	"25.82"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.84"	"0.44"	"40.120"	"26.16"	"0.40"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"1.85"	"0.43"	"39.240"	"26.34"	"0.40"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.86"	"0.41"	"38.200"	"26.55"	"0.40"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.87"	"0.39"	"37.440"	"26.49"	"0.40"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"1.88"	"0.38"	"36.460"	"26.59"	"0.46"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"1.89"	"0.37"	"35.980"	"26.71"	"0.40"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.90"	"0.37"	"35.340"	"26.84"	"0.40"	"0.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"1.91"	"0.37"	"34.140"	"27.14"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"1.92"	"0.36"	"33.480"	"27.41"	"0.40"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"1.93"	"0.35"	"39.380"	"43.23"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"0.03"	
"1.94"	"0.41"	"39.140"	"42.62"	"0.46"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"1.95"	"0.40"	"38.060"	"42.26"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"1.71"	
"1.96"	"0.37"	"37.860"	"42.16"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"1.86"	
"1.97"	"0.37"	"37.500"	"42.07"	"0.46"	"0.51"	"Disabled"	"Disabled"	"Disabled"	"1.80"	
"1.98"	"0.37"	"37.660"	"42.07"	"0.51"	"0.51"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"1.99"	"0.37"	"38.120"	"42.00"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"1.75"	
"2.00"	"0.37"	"38.980"	"41.90"	"0.51"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"2.01"	"0.37"	"39.500"	"41.90"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"2.02"	"0.37"	"39.640"	"40.28"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"2.03"	"0.37"	"39.480"	"39.36"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.04"	"0.37"	"39.720"	"38.96"	"0.51"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"2.05"	"0.36"	"40.300"	"38.44"	"0.51"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.06"	"0.36"	"41.040"	"38.11"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.07"	"0.35"	"42.100"	"38.53"	"0.51"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"2.08"	"0.34"	"43.180"	"38.59"	"0.46"	"0.51"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.09"	"0.34"	"44.160"	"39.29"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"2.10"	"0.34"	"44.320"	"39.62"	"0.40"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"2.11"	"0.36"	"44.300"	"40.07"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.31"	
"2.12"	"0.36"	"43.940"	"40.29"	"0.40"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"2.13"	"0.36"	"43.640"	"40.53"	"0.46"	"0.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"2.14"	"0.37"	"43.640"	"40.78"	"0.46"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
